Active_Growth_Period,Bloom_Period,Coppice_Potential,Duration,Fertility_Requirement,Foliage_Porosity_Summer,Genus,Growth_Form,Growth_Habit,Growth_Rate,Height_Mature_feet,Known_Allelopath,Species,State_and_Province,Vegetative_Spread_Rate,pH_Maximum,pH_Minimum
,,,Perennial,,,Eritrichium,,Forb/herb,,,,nanum,"USA (AK, CO, ID, MT, NM, OR, UT, WA, WY), CAN (YT)",,,
,,,Perennial,,,Ericameria,,"Shrub, Subshrub",,,,nauseosa,"USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK)",,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,nanus,"USA (ID, UT, WY)",,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,nematophyllus,"USA (CO, UT, WY)",,,
,,,Perennial,,,Eriogonum,,"Subshrub, Shrub",,,,nummulare,"USA (AZ, CA, NV, UT)",,,
,,,Perennial,,,Ericameria,,"Subshrub, Shrub",,,,obovata,USA (UT),,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,oregonum,"USA (CA, OR, WA), CAN (BC)",,,
,,,Perennial,,,Ericameria,,Shrub,,,,parishii,USA (CA),,,
,,,Perennial,,,Eriogonum,,"Forb/herb, Subshrub",,,,pelinophilum,USA (CO),,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,piperianus,USA (WA),,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,pinnatisectus,"USA (CO, NM, WY)",,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,pluriflorum,USA (CA),,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,propullans,USA (MN),,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,pulchellus,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (ON, QC)",,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,pusaterii,USA (CA),,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,purpurascens,USA (CA),,,
,,,Annual,,,Erigeron,,Forb/herb,,,,quercifolius,"USA (AL, AR, FL, GA, LA, MS, NC, SC, TN, VA)",,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,revolutum,"USA (CA, OR, WA), CAN (BC)",,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,rostratum,"USA (AL, AR, KS, KY, LA, MO, MS, OH, OK, TN, TX)",,,
,,,Annual,,,Eremalche,,"Subshrub, Forb/herb",,,,rotundifolia,"USA (AZ, CA, NV)",,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,russeolum,"USA (AK, MN), CAN (AB, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), FRA (SPM)",,,
,,,Annual,,,Eriastrum,,Forb/herb,,,,sapphirinum,USA (CA),,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,scheuchzeri,"USA (AK, MT, NM, UT, WY), CAN (AB, BC, LB, MB, NF, NT, NU, ON, QC, SK, YT), DEN (GL)",,,
,,,Perennial,,,Eragrostis,,Graminoid,,,,silveana,USA (TX),,,
,,,Perennial,,,Eriogonum,,"Subshrub, Shrub",,,,smithii,USA (UT),,,
,,,Perennial,,,Eragrostis,,Graminoid,,,,spectabilis,"USA (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY), CAN (MB, ON, QC)",,,
,,,Perennial,,,Erigeron,,"Subshrub, Forb/herb",,,,speciosus,"USA (AZ, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",,,
,,,Perennial,,,Erigeron,,Forb/herb,,,,subtrinervis,"USA (CO, ID, MT, ND, NE, NM, SD, UT, WA, WY)",,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,taylorii,USA (CA),,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,tenellum,"USA (CT, IL, MA, ME, MI, MN, NH, NJ, NY, PA, RI, VT, WI), CAN (LB, NB, NF, NS, NU, ON, PE, QC), FRA (SPM)",,,
,,,"Annual, Biennial",,,Erodium,,Forb/herb,,,,texanum,"USA (AZ, CA, MO, NM, NV, OK, SC, TX, UT)",,,
,,,Perennial,,,Eriodictyon,,Shrub,,,,trichocalyx,USA (CA),,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,tuolumnense,USA (CA),,,
,,,Perennial,,,Erythronium,,Forb/herb,,,,umbilicatum,"USA (AL, DC, FL, GA, KY, MD, NC, SC, TN, VA, WV)",,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,vaginatum,"USA (AK, CT, IN, MA, ME, MI, MN, MT, NH, NJ, NY, PA, RI, VT, WI), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,virginicum,"USA (CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (BC, LB, NB, NF, NS, ON, PE, QC), FRA (SPM)",,,
,,,Perennial,,,Eriophorum,,Graminoid,,,,viridicarinatum,"USA (AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, PA, RI, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)",,,
,,,Perennial,,,Eryngium,,Forb/herb,,,,yuccifolium,"USA (AL, AR, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, OH, OK, SC, TN, TX, VA, WI)",,,
,,,Perennial,,,Ericameria,,"Subshrub, Shrub",,,,zionis,USA (UT),,,
,,,Perennial,,,Escobaria,,Shrub,,,,albicolumnaria,USA (TX),,,
,,,Perennial,,,Escobaria,,Shrub,,,,alversonii,"USA (AZ, CA)",,,
,,,Annual,,,Eschscholzia,,Forb/herb,,,,caespitosa,"USA (CA, OR)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,dasyacantha,"USA (NM, TX)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,duncanii,"USA (NM, TX)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,emskoetteriana,USA (TX),,,
,,,Annual,,,Eschscholzia,,Forb/herb,,,,glyptosperma,"USA (AZ, CA, NV, UT)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,hesteri,USA (TX),,,
,,,Annual,,,Eschscholzia,,Forb/herb,,,,lobbii,USA (CA),,,
,,,Perennial,,,Escobaria,,Shrub,,,,minima,USA (TX),,,
,,,Perennial,,,Escobaria,,Shrub,,,,missouriensis,"USA (AR, AZ, CO, IA, ID, IL, KS, LA, MN, MT, ND, NE, NM, OK, SD, TX, WY)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,sneedii,"USA (NM, TX)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,tuberculosa,"USA (AZ, NM, TX)",,,
,,,Perennial,,,Escobaria,,Shrub,,,,vivipara,"USA (AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WY), CAN (AB, MB, SK)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,altissimum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV), CAN (ON)",,,
,,,Perennial,,,Eulophia,,Forb/herb,,,,alta,"USA (FL), USA+ (PR)",,,
,,,Perennial,,,Euonymus,,"Forb/herb, Subshrub",,,,americanus,"USA (AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Euphorbia,,"Subshrub, Forb/herb",,,,antisyphilitica,"USA (NM, TX)",,,
,,,Perennial,,,Euonymus,,"Shrub, Tree",,,,atropurpureus,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV), CAN (ON, QC)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,avita,"USA (GA, NC, SC)",,,
,,,Perennial,,,Eugenia,,"Tree, Shrub",,,,axillaris,"USA (, FL), USA+ (PR, VI)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,bicolor,"USA (AR, LA, NM, OK, TX)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,bifurcata,"USA (NM, TX)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,bilobata,"USA (AZ, NM, TX)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,brachycera,"USA (AZ, CO, ID, MN, MT, ND, NE, NM, NV, SD, TX, UT, WY)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,capillifolium,"USA (AL, AR, CT, DE, FL, GA, KY, LA, MA, MD, MO, MS, NC, NJ, OK, PA, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,chapmanii,"USA (AL, FL)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,chlorolepis,"USA (GA, NC, SC, TN, VA)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,chamaesula,"USA (AZ, NM)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,chapmanii,USA (FL),,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,corollata,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (ON)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,conspicua,"USA (ID, MT, OR, SD, WA, WY), CAN (AB, BC, MB, SK)",,,
,,,Perennial,,,Eurybia,,"Forb/herb, Subshrub",,,,compacta,"USA (DE, GA, MD, NC, NJ, SC, VA)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,compositifolium,"USA (AL, AR, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,commutata,"USA (AL, AR, DC, FL, GA, IA, IL, IN, KY, LA, MD, MI, MN, MO, MS, NC, OH, OK, PA, SC, TN, TX, VA, WI, WV), CAN (ON)",,,
,,,"Annual, Biennial",,,Euphorbia,,Forb/herb,,,,crenulata,"USA (AZ, CA, CO, NV, OR)",,,
,,,Perennial,,,Euphorbia,,Shrub,,,,curtisii,"USA (AL, FL, GA, NC, SC)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,cuphosperma,"USA (AZ, NM)",,,
,,,,,,Euphorbia,,,,,,dentata,,,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,divaricata,"USA (AL, CT, DC, DE, GA, KY, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV), CAN (ON, QC)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,discoidalis,"USA (AL, FL, GA, LA, MS, TX)",,,
,,,Perennial,,,Eutrochium,,Forb/herb,,,,dubium,"USA (CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA, VT, WV), CAN (NS)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,eriantha,"USA (AZ, CA, NM, TX)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,eryngiifolia,"USA (AL, FL, GA)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,exstipulata,"USA (AZ, CA, NM, OK, TX, UT, WY)",,,
,,,"Annual, Perennial",,,Eustoma,,Forb/herb,,,,exaltatum,"USA (AL, AR, AZ, CA, CO, FL, KS, LA, MS, MT, NE, NM, NV, OK, SD, TX, WY)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,exserta,"USA (FL, GA, NC, SC, VA)",,,
,,,Perennial,,,Eutrochium,,Forb/herb,,,,fistulosum,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV), CAN (QC)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,floridana,"USA (AL, FL, GA, MS)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,furcata,"USA (AR, IA, IL, IN, MI, MO, WI)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,glauca,"USA (AZ, CO, ID, MT, NM, UT, WY)",,,
,,,Perennial,,,Euthamia,,Forb/herb,,,,graminifolia,"USA (AL, CO, CT, DC, DE, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), FRA (SPM)",,,
,,,Perennial,,,Euthamia,,Forb/herb,,,,gymnospermoides,"USA (AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, ND, NE, OH, OK, SD, TN, TX, WI, WV), CAN (ON)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,hemispherica,"USA (AL, AR, FL, GA, KS, KY, LA, MO, MS, OK, TN, TX)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,helleri,"USA (LA, TX)",,,
,,,"Annual, Perennial",,,Euphorbia,,Forb/herb,,,,heterophylla,"USA (AL, AZ, CA, FL, GA, HI, KY, LA, MS, NM, TX, UM), USA+ (PR, VI)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,hexagona,"USA (AR, CO, DE, IA, IL, KS, MN, MO, MT, NE, NM, OK, SD, TX, WY)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,horrida,"USA (CO, NM)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,hyssopifolium,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,innocua,USA (TX),,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,inundata,"USA (AL, FL, GA, MS)",,,
Spring and Summer,Late Summer,No,Perennial,Low,Porous,Eurybia,Multiple Stem,"Forb/herb, Subshrub",Rapid,3.0,No,integrifolia,"USA (CA, ID, MT, NV, OR, UT, WA, WY)",Moderate,7.5,6.0
,,,Perennial,,,Euphorbia,,Forb/herb,,,,ipecacuanhae,"USA (CT, DC, DE, GA, MD, NC, NJ, NY, PA, SC, VA)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,jonesiae,"USA (AL, GA)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,longicruris,"USA (AR, OK, TX)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,macropus,"USA (AZ, NM)",,,
"Spring, Summer, Fall",Late Summer,No,Perennial,Medium,Dense,Eurybia,Rhizomatous,Forb/herb,Moderate,4.6,No,macrophylla,"USA (CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), CAN (MB, NB, NS, ON, PE, QC)",Moderate,6.9,4.9
,,,Annual,,,Euphorbia,,Forb/herb,,,,marginata,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, WI, WV, WY), CAN (MB, ON, QC)",,,
,,,Perennial,,,Eutrochium,,Forb/herb,,,,maculatum,"USA (AZ, CO, CT, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,merita,"USA (AK, ID, MT, OR, SD, UT, WA, WY), CAN (BC)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,mercurialina,"USA (AL, DC, FL, GA, KY, NC, TN, VA)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,mirabilis,"USA (NC, SC)",,,
,,,Perennial,,,Euphorbia,,Shrub,,,,misera,USA (CA),,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,nephradenia,"USA (CO, UT)",,,
,,,Annual,,,Euphrasia,,Forb/herb,,,,nemorosa,"USA (AK, CT, MA, ME, MI, MN, NH, VT, WA), CAN (AB, BC, LB, NB, NF, NS, ON, PE, QC), FRA (SPM)",,,
,,,Perennial,,,Euonymus,,"Shrub, Subshrub, Vine",,,,obovatus,"USA (AR, GA, IL, IN, KY, MI, MO, NC, NY, OH, PA, TN), CAN (ON)",,,
,,,Perennial,,,Euthamia,,Forb/herb,,,,occidentalis,"USA (AZ, CA, CO, ID, MT, NE, NM, NV, OR, UT, WA, WY), CAN (BC)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,paludosa,"USA (FL, GA, NC, SC)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,palmeri,"USA (AZ, CA, NV, UT)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,perfoliatum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, PE, QC)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,peplidion,USA (TX),,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,pilosum,"USA (AL, CT, DC, DE, FL, GA, KY, LA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, TN, VA, WV)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,pinetorum,USA (FL),,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,polyphylla,"USA (FL, LA)",,,
,,,Perennial,,,Eutrochium,,Forb/herb,,,,purpureum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV), CAN (ON)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,purpurea,"USA (DE, MD, NC, NJ, OH, PA, VA, WV)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,pubentissima,"USA (AL, AR, DC, FL, GA, IL, KY, LA, MD, MO, MS, NC, NH, OK, PA, SC, TN, TX, VA, WV)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,radula,"USA (CT, DE, KY, MA, MD, ME, NH, NJ, NY, PA, RI, VA, VT, WV), CAN (LB, NB, NF, NS, ON, PE, QC), FRA (SPM)",,,
,,,Perennial,,,Eurybia,,"Forb/herb, Subshrub",,,,radulina,"USA (CA, OR, WA), CAN (BC)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,radians,"USA (AZ, NM, TX)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,rosescens,USA (FL),,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,roemeriana,USA (TX),,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,saxicastellii,"USA (KY, TN)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,schreberi,"USA (AL, CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (ON)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,schizoloba,"USA (AZ, CA, CO, NM, NV)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,serotinum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV), CAN (ON)",,,
,,,Perennial,,,Eupatorium,,Forb/herb,,,,sessilifolium,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,sibirica,"USA (AK, ID, MT, WA), CAN (AB, BC, NT, NU, YT)",,,
,,,"Annual, Perennial",,,Euphorbia,,Forb/herb,,,,spathulata,"USA (AL, AR, AZ, CA, CO, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NM, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY), CAN (ON)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,spectabilis,"USA (AL, CT, DE, GA, MA, MD, NC, NJ, NY, PA, RI, SC, VA)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,spinulosa,USA (FL),,,
,,,Perennial,,,Eutrochium,,Forb/herb,,,,steelei,"USA (KY, NC, TN, VA)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,strictior,"USA (NM, TX)",,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,surculosa,"USA (AL, GA, KY, NC, OH, SC, TN, VA)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,texana,"USA (KS, LA, OK, TX)",,,
,,,Annual,,,Euphorbia,,Forb/herb,,,,tetrapora,"USA (AL, GA, LA, OK, TX)",,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,telephioides,USA (FL),,,
,,,Perennial,,,Euphorbia,,"Subshrub, Forb/herb",,,,trichotoma,USA (FL),,,
,,,Perennial,,,Eurybia,,Forb/herb,,,,wasatchensis,USA (UT),,,
,,,Perennial,,,Euphorbia,,Forb/herb,,,,wrightii,USA (TX),,,
,,,Perennial,,,Evolvulus,,"Subshrub, Forb/herb",,,,nuttallianus,"USA (AR, AZ, CO, IL, KS, MO, MT, ND, NE, NM, OK, SD, TN, TX, UT, WY)",,,
,,,Perennial,,,Exothea,,"Tree, Shrub",,,,paniculata,"USA (FL), USA+ (PR, VI)",,,
,,,Perennial,,,Eysenhardtia,,"Tree, Shrub",,,,texana,USA (TX),,,
,,,Perennial,,,Fagus,,Tree,,,,grandifolia,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV), CAN (NB, NS, ON, PE, QC)",,,
Spring and Summer,Late Spring,Yes,Perennial,Low,Moderate,Fallugia,Multiple Stem,Shrub,Rapid,6.0,No,paradoxa,"USA (AZ, CA, CO, NM, NV, OK, TX, UT)",Slow,8.0,7.0
,,,Perennial,,,Festuca,,Graminoid,,,,altaica,"USA (AK, MI), CAN (AB, BC, LB, MB, NF, NT, QC, SK, YT)",,,
Spring,Late Spring,No,Perennial,Low,Moderate,Festuca,Bunch,Graminoid,Slow,2.0,No,arizonica,"USA (AZ, CO, NM, NV, TX, UT)",None,7.5,6.5
,,,Perennial,,,Festuca,,Graminoid,,,,baffinensis,"USA (AK, CO, ID, MT, UT, WY), CAN (AB, BC, NT, NU, ON, QC, YT), DEN (GL)",,,
,,,Perennial,,,Festuca,,Graminoid,,,,brachyphylla,"USA (AK, AZ, CA, CO, ID, ME, MN, MT, NM, NV, OR, UT, VT, WA, WY), CAN (AB, BC, LB, MB, NF, NS, NT, NU, ON, QC, SK, YT), DEN (GL)",,,
"Fall, Winter and Spring",Early Spring,No,Perennial,Low,Moderate,Festuca,Bunch,Graminoid,Moderate,4.0,No,californica,"USA (CA, OR)",None,7.5,6.1
Spring and Summer,Mid Summer,No,Perennial,Medium,Moderate,Festuca,Bunch,Graminoid,Slow,1.5,Yes,campestris,"USA (CO, ID, MT, OR, WA), CAN (AB, BC, ON, SK)",None,8.0,6.0
,,,Perennial,,,Ferocactus,,Shrub,,,,cylindraceus,"USA (AZ, CA, NV, UT)",,,
,,,Perennial,,,Ferocactus,,Shrub,,,,emoryi,USA (AZ),,,
,,,Perennial,,,Ferocactus,,Shrub,,,,hamatacanthus,"USA (NM, TX)",,,
,,,Perennial,,,Festuca,,Graminoid,,,,hallii,"USA (CO, MT, ND, NM, WA, WY), CAN (AB, MB, ON, SK)",,,
,,,Perennial,,,Festuca,,Graminoid,,,,ligulata,USA (TX),,,
Spring and Summer,Spring,No,Perennial,Low,Moderate,Festuca,Bunch,Graminoid,Moderate,3.0,No,occidentalis,"USA (AK, CA, ID, MI, MT, OR, SD, UT, WA, WI, WY), CAN (AB, BC, ON)",None,7.5,6.0
,,,Perennial,,,Festuca,,Graminoid,,,,paradoxa,"USA (AL, AR, DE, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, OK, PA, SC, TN, TX, VA, WI), CAN (ON, QC)",,,
Summer,Mid Summer,No,Perennial,Low,Moderate,Fendlera,Multiple Stem,Shrub,Moderate,6.0,No,rupicola,"USA (AZ, CO, NM, NV, TX, UT)",None,8.5,7.0
Spring and Fall,Mid Spring,No,Perennial,High,Porous,Festuca,Rhizomatous,Graminoid,Moderate,2.0,No,rubra,"USA (AK, AL, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Rapid,7.5,5.0
,,,Perennial,,,Festuca,,Graminoid,,,,saximontana,"USA (AK, AZ, CA, CO, IA, ID, KS, MI, MN, MT, ND, NE, NM, NV, NY, OR, SD, UT, VT, WA, WI, WY), CAN (AB, BC, LB, MB, NF, NT, ON, QC, SK, YT), DEN (GL)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Moderate,Festuca,Bunch,Graminoid,Moderate,1.2,No,subulata,"USA (AK, CA, CO, ID, MT, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",None,7.4,5.8
Spring and Summer,Late Spring,No,Perennial,Low,Porous,Festuca,Bunch,Graminoid,Moderate,3.0,No,subverticillata,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, QC)",None,7.2,5.5
Spring and Summer,Mid Summer,No,Perennial,Medium,Moderate,Festuca,Bunch,Graminoid,Moderate,2.0,Yes,thurberi,"USA (AZ, CO, NM, SC, UT, WY)",None,8.0,6.0
,,,Perennial,,,Festuca,,Graminoid,,,,versuta,"USA (AR, KS, OK, TN, TX)",,,
Spring and Summer,Late Spring,No,Perennial,Medium,Porous,Festuca,Bunch,Graminoid,Moderate,2.5,No,viridula,"USA (CA, ID, MT, NV, OR, WA), CAN (BC)",None,7.3,6.0
